campaign_id,nodes,edges,cyber_nodes,video_nodes,hub_nodes,mean_score,max_score
0,57139,16107736,43790,3163,10186,0.9200284560838333,0.9999997511451234
26,53,87,44,0,9,0.9266477929095119,0.999998732873685
21,52,83,42,0,10,0.9140583191439864,0.9999992871168665
23,46,75,38,0,8,0.9240232516309433,0.9999991557810297
1,43,69,35,0,8,0.9164532498043834,0.9999987052310816
10,41,65,33,0,8,0.902927696864027,0.999998725817886
20,38,61,31,0,7,0.9156862386061517,0.9999986248927307
7,36,56,29,0,7,0.9092986489233569,0.9999987253353613
4,35,55,28,0,7,0.8893005938380927,0.9999987102867004
32,34,55,28,0,6,0.9126360491536125,0.9999980325412513
11,32,51,26,0,6,0.9164378295377247,0.9999984614430012
2,30,48,25,0,5,0.9216891713562315,0.999998985887831
36,29,45,23,0,6,0.8948963430851232,0.9999996323225661
3,28,45,23,0,5,0.8939457218818794,0.9999995193358618
28,28,45,23,0,5,0.9094228559440104,0.9999992705566209
19,27,43,22,0,5,0.9208857906626517,0.99999871388572
5,26,41,21,0,5,0.8960816620599645,0.9999991350888795
8,21,33,17,0,4,0.9155630248763886,0.9999987117507607
34,18,29,15,0,3,0.9307223859072544,0.999997988853118
17,15,23,12,0,3,0.8958239673513454,0.9999986214174111
15,14,21,11,0,3,0.8579688816327852,0.9999986331977738
22,11,17,9,0,2,0.9447203013072076,0.9999995781130341
31,11,17,9,0,2,0.9200842116326633,0.9999737509408787
6,8,11,6,0,2,0.8304535408485565,0.9999996687838827
27,8,11,6,0,2,0.8509861623878289,0.9999994926671043
24,8,11,6,0,2,0.8450273307856252,0.9999986567963192
13,8,11,6,0,2,0.855931913221252,0.9999980527994233
16,6,7,4,0,2,0.7695625607702649,0.9997204811032004
12,5,7,4,0,1,0.903167529907218,0.9998904427477115
14,4,5,3,0,1,0.8533889146342981,0.999998719854188
18,4,5,3,0,1,0.8295954226166227,0.9999981784090175
9,4,5,3,0,1,0.8485069404240937,0.9992950365390042
25,4,5,3,0,1,0.873302990125928,0.9992926301104612
35,3,3,2,0,1,0.7843475866026748,0.9999986545907641
33,2,1,1,0,1,0.5773966911988744,0.9997796929873285
30,2,1,1,0,1,0.6103919692804357,0.994263316927507
29,2,1,1,0,1,0.553506091075242,0.9596513886312407
1871,1,0,0,0,1,0.11681916637403707,0.11681916637403707
2457,1,0,0,0,1,0.11679248252476063,0.11679248252476063
1102,1,0,0,0,1,0.11647919493099754,0.11647919493099754
1757,1,0,0,0,1,0.11643778568389085,0.11643778568389085
1931,1,0,0,0,1,0.11576352092464032,0.11576352092464032
1114,1,0,0,0,1,0.11286325938390673,0.11286325938390673
2162,1,0,0,0,1,0.11270905809879551,0.11270905809879551
951,1,0,0,0,1,0.11239951699526912,0.11239951699526912
2641,1,0,0,0,1,0.11233286353241204,0.11233286353241204
2666,1,0,0,0,1,0.11175339399484407,0.11175339399484407
381,1,0,0,0,1,0.11157135349170146,0.11157135349170146
165,1,0,0,0,1,0.11128633466099605,0.11128633466099605
1171,1,0,0,0,1,0.11104809157806385,0.11104809157806385
2415,1,0,0,0,1,0.11060837528804512,0.11060837528804512
2070,1,0,0,0,1,0.11049468650366025,0.11049468650366025
2075,1,0,0,0,1,0.10988610390821374,0.10988610390821374
1405,1,0,0,0,1,0.1096689777774274,0.1096689777774274
1058,1,0,0,0,1,0.10962253164170518,0.10962253164170518
1420,1,0,0,0,1,0.10913031640567447,0.10913031640567447
1121,1,0,0,0,1,0.10857451491755372,0.10857451491755372
1537,1,0,0,0,1,0.10754061168589002,0.10754061168589002
1093,1,0,0,0,1,0.10748719690163724,0.10748719690163724
2437,1,0,0,0,1,0.10659972608090429,0.10659972608090429
314,1,0,0,0,1,0.10575609328389315,0.10575609328389315
111,1,0,0,0,1,0.1053637200848378,0.1053637200848378
1224,1,0,0,0,1,0.10412185297157689,0.10412185297157689
2270,1,0,0,0,1,0.10390240252500535,0.10390240252500535
517,1,0,0,0,1,0.10342813387811711,0.10342813387811711
239,1,0,0,0,1,0.1025659454184221,0.1025659454184221
1902,1,0,0,0,1,0.10238005582974408,0.10238005582974408
322,1,0,0,0,1,0.1022700124881431,0.1022700124881431
1161,1,0,0,0,1,0.10136282212497374,0.10136282212497374
872,1,0,0,0,1,0.10130717138062127,0.10130717138062127
1573,1,0,0,0,1,0.10078657817728265,0.10078657817728265
2600,1,0,0,0,1,0.10013666105436494,0.10013666105436494
1055,1,0,0,0,1,0.10005683442559479,0.10005683442559479
371,1,0,0,0,1,0.09993969378379611,0.09993969378379611
683,1,0,0,0,1,0.09987161790793406,0.09987161790793406
2591,1,0,0,0,1,0.09937541690225248,0.09937541690225248
271,1,0,0,0,1,0.09869330861403013,0.09869330861403013
442,1,0,0,0,1,0.09867688910853081,0.09867688910853081
2317,1,0,0,0,1,0.0985308369667825,0.0985308369667825
288,1,0,0,0,1,0.09844950008560491,0.09844950008560491
2653,1,0,0,0,1,0.09812779452354684,0.09812779452354684
2527,1,0,0,0,1,0.09779742750797267,0.09779742750797267
2221,1,0,0,0,1,0.09661799708759247,0.09661799708759247
2629,1,0,0,0,1,0.09655966608589746,0.09655966608589746
295,1,0,0,0,1,0.09636926193174816,0.09636926193174816
884,1,0,0,0,1,0.09594226077653221,0.09594226077653221
1552,1,0,0,0,1,0.09552073150151968,0.09552073150151968
771,1,0,0,0,1,0.09505381993681916,0.09505381993681916
325,1,0,0,0,1,0.09497588108759697,0.09497588108759697
