window_id,cyber_mean_prob,cyber_mean_uncertainty,cyber_count,cyber_label_any,video_mean_prob,video_mean_uncertainty,video_count,video_label_any,modality_count,w_cyber,w_video,raw_fusion_score,fusion_uncertainty,adjusted_fusion_score,fused_label_or,fused_pred,window_state
0,0.0,0.0,0.0,0.0,0.3086314598592908,0.6172629197185816,1,0,1,0.6763971581999014,0.32360284180009863,0.09987401747937957,0.19974803495875915,0.03994960699175183,0,0,single_modality_only
1,0.8214479001368278,0.02383007113633767,6.0,1.0,0.907459602296915,0.18508079540616995,1,1,2,0.5,0.5,0.8644537512168714,0.10445543327125381,0.8331171212354953,1,1,high_risk
2,0.6110486645132228,0.1832425608739556,6.0,1.0,0.9064919105645773,0.18701617887084532,1,1,2,0.5,0.5,0.7587702875389001,0.18512936987240047,0.7032314765771799,1,1,high_risk
3,0.9972771152539238,0.005445769492152401,6.0,1.0,0.32581148851700886,0.6516229770340177,1,0,2,0.696635324463208,0.3033646755367919,0.7935781632647708,0.20147310839736063,0.7331362307455627,1,1,high_risk
4,0.8536129316858855,0.04573566998123942,6.0,1.0,0.1795820402047105,0.35916408040942094,1,0,2,0.5552332428159649,0.44476675718403513,0.553826397839939,0.18513820769672854,0.49828493553092046,1,1,high_risk
5,0.9998040194548753,0.0003919610902494523,6.0,1.0,0.16981744880303423,0.33963489760606846,1,0,2,0.5478082150063602,0.4521917849936399,0.6244909105510695,0.1537948300998217,0.5783524615211231,1,1,high_risk
6,0.9960647405830404,0.007870518833919057,6.0,1.0,0.4346507985840183,0.8693015971680366,1,1,2,0.8595695421478435,0.14043045785215652,0.9172251236635337,0.12884167957245607,0.8785726197917969,1,1,high_risk
7,0.9967212128562702,0.006557574287459548,6.0,1.0,0.30279688274578065,0.6055937654915613,1,0,2,0.6697888682147095,0.33021113178529055,0.767579674437136,0.20436599296531568,0.7062698765475414,1,1,high_risk
8,0.9810132143739373,0.037973571252125304,6.0,1.0,0.6296752851418809,0.7406494297162383,1,1,2,0.7551796567077025,0.24482034329229754,0.8949985419277404,0.2100029161445193,0.8319976670843846,1,1,high_risk
9,0.5402906122750365,0.08861483757765287,6.0,1.0,0.31502486908994315,0.6300497381798863,1,0,2,0.6837897525279621,0.3162102474720379,0.4690592758755056,0.25982210148708335,0.3911126454293806,1,0,low_risk
10,0.9946685470273754,0.010662905945249249,6.0,1.0,0.29786022568680126,0.5957204513736025,1,1,2,0.6642975884731089,0.335702411526891,0.7607483131813398,0.20706813482755101,0.6986278727330746,1,1,high_risk
11,0.6771312454487693,0.02411010669595265,6.0,1.0,0.2871891118106163,0.5743782236212326,1,0,2,0.6527299166988424,0.3472700833011577,0.5417160082176168,0.2152017614985658,0.47715547976804706,1,1,high_risk
12,0.9914405123375162,0.017118975324967794,6.0,1.0,0.6291897208979148,0.7416205582041704,1,1,2,0.7558725806716178,0.24412741932838222,0.9030051614737022,0.19398967705259557,0.8448082583579236,1,1,high_risk
13,0.9754310017464386,0.049137996507122694,6.0,1.0,0.34973817221165426,0.6994763444233085,1,1,2,0.7269266734487299,0.2730733265512702,0.8045709793860982,0.2267280525564529,0.7365525636191623,1,1,high_risk
14,0.4996049976575711,0.001118364068418698,6.0,1.0,0.901900179531641,0.19619964093671793,1,1,2,0.5,0.5,0.7007525885946061,0.09865900250256832,0.6711548878438356,1,1,high_risk
15,0.6487606301413862,0.036108499613832244,6.0,1.0,0.6290701792561861,0.7418596414876277,1,0,2,0.7560433675592065,0.2439566324407935,0.643957014052192,0.20828117152660808,0.5814726625942095,1,1,high_risk
16,0.8311283959466115,0.01156882477955303,6.0,1.0,0.41637451632646666,0.8327490326529333,1,1,2,0.8270862754412175,0.17291372455878257,0.7594117578462873,0.15356215305689452,0.713343111929219,1,1,high_risk
17,0.36819391595037015,0.07675330944258595,6.0,1.0,0.3327452826709103,0.6654905653418206,1,0,2,0.7051505924594051,0.29484940754059485,0.3577419074297976,0.25034214054155085,0.28263926526733235,1,0,low_risk
18,0.8305129773523743,0.006227119547052222,6.0,1.0,0.4088861222336181,0.8177722444672362,1,0,2,0.8144750496956555,0.18552495030434446,0.75229067600949,0.15678898851760237,0.7052539794542092,1,1,high_risk
19,0.8550893677041421,0.04374987757165135,6.0,1.0,0.5283337743286675,0.9433324513426651,1,0,2,0.9338511786209824,0.0661488213790176,0.833474870323353,0.10325620455970706,0.8024980089554409,1,1,high_risk
20,0.9957035071949707,0.008592985610058538,6.0,1.0,0.3612292418502026,0.7224584837004052,1,0,2,0.7424307907386203,0.2575692092613798,0.8322824723734239,0.19246275747217012,0.7745436451317729,1,1,high_risk
21,0.8332802547382973,0.001995467565653497,6.0,1.0,0.4295780197097913,0.8591560394195826,1,1,2,0.8503004042311871,0.14969959576881284,0.7728461933435635,0.13031205868115112,0.7337525757392181,1,1,high_risk
22,0.6803794970073697,0.04668378754609962,6.0,1.0,0.31778289571704543,0.6355657914340909,1,1,2,0.6870289399907462,0.3129710600092538,0.5668972543457841,0.23098681252329772,0.49760121058879475,1,1,high_risk
23,0.816606231441161,0.11857968217405708,6.0,1.0,0.42459530503191717,0.8491906100638343,1,0,2,0.8413884091465582,0.15861159085344173,0.7544287547714593,0.23446304374156385,0.6840898416489902,1,1,high_risk
24,0.8012343168943773,0.06435216847146695,6.0,1.0,0.3670586364486281,0.7341172728972561,1,0,2,0.7505516129101184,0.24944838708988154,0.6929298936935333,0.23142399349956613,0.6235026956436635,1,1,high_risk
25,0.5266130910143355,0.11622582837598612,6.0,1.0,0.885508100320671,0.2289837993586581,1,1,2,0.5092245386606535,0.49077546133934646,0.7027499547790413,0.1715646736046956,0.6512805526976326,1,1,high_risk
26,0.9965971011927288,0.0068057976145423265,6.0,1.0,0.6044800271328372,0.7910399457343256,1,1,2,0.7928956122868943,0.20710438771310571,0.9153879346577005,0.16922413068459907,0.8646206954523208,1,1,high_risk
27,0.6645675096579996,0.0043568162585880255,6.0,1.0,0.6562724424658171,0.6874551150683659,1,1,2,0.7190721119077906,0.2809278880922094,0.6622371939501168,0.19625817870259993,0.6033597403393368,1,1,high_risk
28,0.9203318256910146,0.15933634861797083,6.0,1.0,0.48065607537134875,0.9613121507426975,1,0,2,0.9538709791830626,0.04612902081693733,0.9000500138518162,0.19633070708886236,0.8411508017251574,1,1,high_risk
29,0.4966543760370603,0.010429451492396694,6.0,1.0,0.4702724280548811,0.9405448561097622,1,1,2,0.9308222839633957,0.0691777160366043,0.49482933313105665,0.07477271083428812,0.4723975198807702,1,1,high_risk
30,0.9982271448703871,0.003545710259225713,6.0,1.0,0.27817238894336094,0.5563447778867219,1,0,2,0.6432650993420845,0.3567349006579155,0.7413584830464999,0.20074843073310888,0.6811339538265672,1,1,high_risk
31,0.9882082257252125,0.023583548549574895,6.0,1.0,0.3317748713430324,0.6635497426860648,1,0,2,0.7039463406791296,0.2960536593208703,0.7938687290600944,0.21304788216533324,0.7299543644104944,1,1,high_risk
32,0.8513539900930428,0.05023715870851394,6.0,1.0,0.3697205561632368,0.7394411123264736,1,1,2,0.7543192643973818,0.24568073560261808,0.733025933754353,0.21956129301360694,0.6671575458502709,1,1,high_risk
33,0.8297243223528649,0.009474086270883308,6.0,1.0,0.3382283507933143,0.6764567015866286,1,0,2,0.7120330841986526,0.2879669158013473,0.6881897432940743,0.20154301289647497,0.6277268394251319,1,1,high_risk
34,0.6834771265432432,0.03850969082832597,6.0,1.0,0.9014569668732229,0.1970860662535543,1,1,2,0.5,0.5,0.7924670467082331,0.11779787854094013,0.757127683145951,1,1,high_risk
35,0.8237698124689041,0.019127041728858336,6.0,1.0,0.9055555551691515,0.18888888966169692,1,0,2,0.5,0.5,0.8646626838190279,0.10400796569527763,0.8334602941104446,1,1,high_risk
36,0.8492962970014637,0.05191057993310141,6.0,1.0,0.3236535576494747,0.6473071152989494,1,0,2,0.694027013281581,0.305972986718419,0.6884638180950842,0.2340858361407887,0.6182380672528476,1,1,high_risk
37,0.6747807392192219,0.02619512984843105,6.0,1.0,0.5801535610620399,0.8396928778759203,1,0,2,0.8330668195300892,0.16693318046991085,0.6589843234105506,0.16199489623176996,0.6103858545410196,1,1,high_risk
38,0.7043649367694355,0.09481042042092197,6.0,1.0,0.5188870289603785,0.962225942079243,1,1,2,0.9549114017513181,0.04508859824868199,0.6960019979002268,0.1339209703916449,0.6558257067827333,1,1,high_risk
39,0.5189752554723729,0.04043755240808531,6.0,1.0,0.9282831062439346,0.14343378751213076,1,0,2,0.5,0.5,0.7236291808581538,0.09193566996010803,0.6960484798701213,1,1,high_risk
40,0.9793935902537362,0.04121281949252772,6.0,1.0,0.85795662187938,0.2840867562412399,1,1,2,0.5277346861990413,0.4722653138009587,0.9220431222773837,0.15591375544523248,0.875268995643814,1,1,high_risk
41,0.665426049868375,0.02416363220087318,6.0,1.0,0.8949257197866907,0.21014856042661867,1,1,2,0.5031916694145152,0.4968083305854848,0.7794433977504132,0.11656249390676701,0.744474649578383,1,1,high_risk
42,0.9971705370845315,0.0056589258309368935,6.0,1.0,0.9023221008762744,0.1953557982474512,1,1,2,0.5,0.5,0.949746318980403,0.10050736203919404,0.9195941103686448,1,1,high_risk
43,0.9913866911109693,0.017226617778061375,6.0,1.0,0.41015926078729414,0.8203185215745883,1,0,2,0.8165919409702387,0.18340805902976126,0.8847848962604482,0.16452014507589816,0.8354288527376788,1,1,high_risk
44,0.6621175065053372,0.009182970328799408,6.0,1.0,0.421652978148092,0.843305956296184,1,1,2,0.8362130037967216,0.16378699620327844,0.6227325437122659,0.14580146866450672,0.5789921031129139,1,1,high_risk
45,0.5355633569642576,0.08883445334255836,6.0,1.0,0.1829566343924987,0.3659132687849974,1,0,2,0.5578463161166098,0.4421536838833902,0.37965699561710586,0.21134587231647878,0.3162532339221622,1,0,low_risk
