feature,mean_abs_shap
num__dst_port,0.042573523
cat__proto_tcp,0.042210035
cat__proto_udp,0.03857918
cat__service_dns,0.036870636
cat__dns_rejected_F,0.02469327
cat__conn_state_REJ,0.02349747
cat__conn_state_S0,0.023149226
num__src_port,0.022243299
cat__dns_RA_F,0.02157734
cat__service_http,0.016290365
num__src_pkts,0.014382268
cat__service_-,0.010698402
num__src_ip_bytes,0.010542723
num__dst_pkts,0.009123356
cat__dns_query_-,0.008301494
cat__conn_state_SF,0.008190431
cat__dns_AA_-,0.007570577
cat__dns_query_a2z3kk2ebqzso7.iot.ap-southeast-2.amazonaws.com,0.0075006415
num__duration,0.0072085047
cat__dns_rejected_-,0.0064834277
num__dst_ip_bytes,0.005721899
cat__conn_state_SHR,0.0055734087
cat__dns_RD_-,0.0050953175
cat__dns_RA_-,0.0047703604
cat__conn_state_S3,0.0036332423
cat__conn_state_S1,0.0035481146
cat__dns_RD_F,0.0032407085
cat__dns_query_elasticsearch,0.003209474
cat__dns_query_testphp.vulnweb.com/listproducts.php.hub,0.00315038
num__dst_bytes,0.0028770685
cat__dns_RD_T,0.0027902268
cat__dns_query_broker.hivemq.com,0.0027303472
cat__dns_RA_T,0.0024984267
num__src_bytes,0.0024321629
cat__dns_AA_F,0.0024209258
cat__conn_state_OTH,0.0021795165
cat__dns_rejected_T,0.0020492254
num__dns_rcode,0.0018652674
num__dns_qtype,0.0018569502
num__dns_qclass,0.0016177956
cat__dns_query_192.168.1.195/dvwa/login.php-r,0.0014906311
cat__conn_state_SH,0.0013420549
cat__conn_state_RSTOS0,0.001274819
cat__service_ftp,0.0010085113
cat__dns_query_testphp.vulnweb.com,0.000984674
cat__dns_query_www.mqtt-dashboard.com,0.0008159346
cat__dns_query_www.bing.com,0.0007870057
cat__conn_state_RSTRH,0.00071809755
cat__dns_query_testphp.vulnweb.com/listproducts.php,0.00069723127
cat__conn_state_RSTO,0.00051752967
cat__dns_AA_T,0.00045889046
cat__dns_query_v10.events.data.microsoft.com,0.00034390148
cat__conn_state_RSTR,0.00031478208
cat__dns_query_safebrowsing.googleapis.com,0.00029285916
cat__dns_query_wpad.hub,0.0001482555
cat__service_ssl,0.00014298392
cat__dns_query_desktop-18ss3ba,0.00013845602
cat__dns_query_desktop-p3kklkq,0.00010908071
cat__dns_query_ari.delta.aridns.net.au,3.3264183e-05
cat__dns_query_2.f.1.2.a.e.f.f.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,2.180054e-05
cat__dns_query_u3.amazonaws.com,1.90373e-05
num__missed_bytes,8.341595e-06
cat__dns_query_surveygizmobeacon.s3.amazonaws.com,0.0
cat__dns_query_store-images.s-microsoft.com,0.0
cat__dns_query_sunnyhoi.disqus.com,0.0
cat__dns_query_storage.googleapis.com,0.0
cat__dns_query_sync-tm.everesttech.net,0.0
cat__dns_query_syndication.twitter.com,0.0
cat__dns_query_telemetry-incoming.r53-2.services.mozilla.com,0.0
cat__dns_query_teredo.ipv6.microsoft.com,0.0
cat__dns_query_sucuri.7eer.net,0.0
cat__dns_query_thorn.blackrose.org,0.0
cat__dns_query_support.mozilla.org,0.0
cat__dns_query_staticxx.facebook.com,0.0
cat__dns_query_status.ws,0.0
cat__dns_query_status.rapidssl.com,0.0
cat__dns_query_secure.gravatar.com,0.0
cat__dns_query_securepubads.g.doubleclick.net,0.0
cat__dns_query_security.ubuntu.com,0.0
cat__dns_query_seit593,0.0
cat__dns_query_self-repair.mozilla.org,0.0
cat__dns_query_services.addons.mozilla.org,0.0
